Baseline 100%T,,ExampleA,,ExampleB,,ExampleC,,ExampleD,,ExampleE,,ExampleF,,ExampleG,,ExampleH,,ExampleI,,ExampleJ,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
762.0101318,0.1065708175,762.0101318,-0.002621671185,762.0101318,-0.000976614072,762.0101318,-0.002420929493,762.0101318,-0.001575664501,762.0101318,0.0001139390879,762.0101318,-0.0009750127792,762.0101318,-0.0009676776244,762.0101318,-0.0005407317658,762.0101318,0.006306399126,762.0101318,-0.002188055776,
760.9883423,0.1064674407,760.9883423,-0.002728489693,760.9883423,-0.001502098865,760.9883423,-0.002797578461,760.9883423,-0.001799225574,760.9883423,0.0003449380456,760.9883423,-0.001436673803,760.9883423,-0.0003131073317,760.9883423,-0.0006262475508,760.9883423,0.006579242647,760.9883423,-0.002108359709,
760.0014648,0.1064821258,760.0014648,-0.002755035879,760.0014648,-0.001072269864,760.0014648,-0.002640762599,760.0014648,-0.001480635605,760.0014648,0.00037125987,760.0014648,-0.0007653427892,760.0014648,1.920781324E-005,760.0014648,-0.0005367502454,760.0014648,0.006184233353,760.0014648,-0.001915266854,
759.0141602,0.1058539599,759.0141602,-0.002638498554,759.0141602,-0.001090396661,759.0141602,-0.002185171004,759.0141602,-0.001633022679,759.0141602,0.0002520212438,759.0141602,-0.000623300788,759.0141602,-0.0002819102083,759.0141602,-0.0002633875119,759.0141602,0.006718160585,759.0141602,-0.001887844526,
757.991272,0.1059828922,757.991272,-0.002756836591,757.991272,-0.0009596707532,757.991272,-0.002385506872,757.991272,-0.001536097494,757.991272,-0.0001439538901,757.991272,-0.001134496764,757.991272,-0.0004116506025,757.991272,-0.0002131445217,757.991272,0.006497069262,757.991272,-0.00222230982,
757.0032959,0.1055420637,757.0032959,-0.002845723182,757.0032959,-0.001271467772,757.0032959,-0.002487956779,757.0032959,-0.001328865997,757.0032959,-4.628164606E-005,757.0032959,-0.001139453845,757.0032959,-0.0003202983644,757.0032959,-0.0004382870684,757.0032959,0.006416277494,757.0032959,-0.001996235223,
756.0148926,0.1052127406,756.0148926,-0.002560943831,756.0148926,-0.001160107902,756.0148926,-0.002142413985,756.0148926,-0.001134135295,756.0148926,2.252085096E-006,756.0148926,-0.0008132482762,756.0148926,-0.0001798184821,756.0148926,8.364561654E-005,756.0148926,0.006745318417,756.0148926,-0.001626472222,
754.9909058,0.1052312478,754.9909058,-0.002131492132,754.9909058,-0.001154118334,754.9909058,-0.002224936616,754.9909058,-0.001575612929,754.9909058,0.0004056931357,754.9909058,-0.0009314647177,754.9909058,-0.0002977935947,754.9909058,-3.157973333E-005,754.9909058,0.006945703179,754.9909058,-0.001885576406,
754.0018311,0.1049404666,754.0018311,-0.002863107482,754.0018311,-0.001870266511,754.0018311,-0.00231789751,754.0018311,-0.00153774838,754.0018311,0.0003368034668,754.0018311,-0.001017420203,754.0018311,-8.375891775E-005,754.0018311,-0.0001749021467,754.0018311,0.006923687644,754.0018311,-0.002130049746,
753.0123291,0.1047077179,753.0123291,-0.002291376004,753.0123291,-0.0008196042618,753.0123291,-0.001908102189,753.0123291,-0.00130976853,753.0123291,0.0003339797258,753.0123291,-0.0007840508479,753.0123291,1.53765377E-005,753.0123291,4.056520629E-005,753.0123291,0.007290149573,753.0123291,-0.001788604539,
751.9872437,0.1041593552,751.9872437,-0.002563465619,751.9872437,-0.00103596237,751.9872437,-0.002250534948,751.9872437,-0.001247360255,751.9872437,0.0005824363907,751.9872437,-0.0007509236457,751.9872437,-0.0001661043789,751.9872437,-0.0003859952849,751.9872437,0.007073055953,751.9872437,-0.001825158368,
750.9970703,0.1038013622,750.9970703,-0.002809049329,750.9970703,-0.001302645425,750.9970703,-0.001994740684,750.9970703,-0.001163515728,750.9970703,0.0004675709934,750.9970703,-0.0006274366169,750.9970703,-2.598873471E-005,750.9970703,0.0001965707488,750.9970703,0.007583210245,750.9970703,-0.001855626237,
750.0065308,0.1042196006,750.0065308,-0.002311563352,750.0065308,-0.001187576214,750.0065308,-0.002574427985,750.0065308,-0.001261143479,750.0065308,0.00057375303,750.0065308,-0.000764464261,750.0065308,0.0002219512244,750.0065308,-0.0003101584443,750.0065308,0.007201946341,750.0065308,-0.002238894813,
749.015625,0.1033373475,749.015625,-0.002488471335,749.015625,-0.001200586907,749.015625,-0.00212237332,749.015625,-0.001023618272,749.015625,0.0004400254402,749.015625,-0.0005545891472,749.015625,0.0001939291978,749.015625,4.574291597E-005,749.015625,0.007431270089,749.015625,-0.00173137011,
747.9890137,0.1031085849,747.9890137,-0.002116397023,747.9890137,-0.001268989989,747.9890137,-0.001780406572,747.9890137,-0.0007334545953,747.9890137,0.000962989463,747.9890137,-0.0002943789877,747.9890137,0.000286470924,747.9890137,0.0003720630484,747.9890137,0.007802773267,747.9890137,-0.001608109917,
746.9974365,0.1025239155,746.9974365,-0.002025969559,746.9974365,-0.001008381136,746.9974365,-0.001910421764,746.9974365,-0.001071133651,746.9974365,0.0007795821875,746.9974365,-0.0002292373974,746.9974365,0.0006974877324,746.9974365,0.0001741439337,746.9974365,0.007847632281,746.9974365,-0.001463299152,
746.0054932,0.1027731672,746.0054932,-0.002733222907,746.0054932,-0.001120864414,746.0054932,-0.002258878667,746.0054932,-0.001211067429,746.0054932,0.0007086108089,746.0054932,-0.0003725463466,746.0054932,0.0001741180313,746.0054932,6.378770922E-005,746.0054932,0.007768222596,746.0054932,-0.002081619343,
745.0131836,0.1020556316,745.0131836,-0.002229366219,745.0131836,-0.0005866455613,745.0131836,-0.001858822419,745.0131836,-0.001028989791,745.0131836,0.0009335186915,745.0131836,-0.0002709933033,745.0131836,0.0004701105645,745.0131836,0.0004430053523,745.0131836,0.008336109109,745.0131836,-0.001606510952,
743.9850464,0.1017898396,743.9850464,-0.001986701274,743.9850464,-0.0007823454798,743.9850464,-0.001999636414,743.9850464,-0.001119470107,743.9850464,0.0009409121703,743.9850464,-1.780918137E-005,743.9850464,0.0003960028407,743.9850464,0.000280850014,743.9850464,0.007984662428,743.9850464,-0.001847068663,
742.9920044,0.1016524583,742.9920044,-0.002436528914,742.9920044,-0.0008609417127,742.9920044,-0.002137056086,742.9920044,-0.001159539912,742.9920044,0.0009539352614,742.9920044,-0.000623662665,742.9920044,0.0004411914852,742.9920044,0.0005588750937,742.9920044,0.008407467045,742.9920044,-0.002068583621,
741.9987183,0.1009098217,741.9987183,-0.002511789557,741.9987183,-0.0009891146328,741.9987183,-0.001752666314,741.9987183,-0.0007547481218,741.9987183,0.00103164115,741.9987183,-2.231313192E-005,741.9987183,0.0006938060396,741.9987183,0.000569191121,741.9987183,0.008490582928,741.9987183,-0.001696252264,
741.0049438,0.1008001789,741.0049438,-0.00206281268,741.0049438,-0.0007726814365,741.0049438,-0.002113924129,741.0049438,-0.0009455163381,741.0049438,0.0008915989893,741.0049438,-0.0002781333169,741.0049438,0.0006497058203,741.0049438,0.0004311117227,741.0049438,0.008419475518,741.0049438,-0.001804793836,
